Name,Rk,Uni,Birth,Unnamed: 4,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
Will Warren,1,98.0,us US,Pitcher,*,,26,R,R,"6' 2""",200,Jun 16 1999,2018,warrewi01
Ryan Weathers,2,40.0,us US,Pitcher,*,,25,R,L,"6' 1""",230,Dec 17 1999,2018,weathry01
Angel Chivilli,3,57.0,do DO,Pitcher,*,,22,R,R,"6' 2""",162,Jul 28 2002,2019,chivian01
Osvaldo Bido,4,56.0,do DO,Pitcher,*,,29,R,R,"6' 3""",175,Oct 18 1995,2017,bidoos01
David Bednar,5,53.0,us US,Pitcher,*,,30,L,R,"6' 1""",250,Oct 10 1994,2014,bednada01
Cade Winquest,6,80.0,us US,Pitcher,*,,25,R,R,"6' 2""",205,Apr 30 2000,2019,redirect.fcgi?player=1&mlb_ID=685464
Camilo Doval,7,75.0,do DO,Pitcher,*,,27,R,R,"6' 2""",205,Jul 4 1997,2016,dovalca01
Fernando Cruz,8,63.0,pr PR,Pitcher,*,,35,S,R,"6' 2""",237,Mar 28 1990,2007,cruzfe01
Brent Headrick,9,47.0,us US,Pitcher,*,,27,L,L,"6' 6""",235,Dec 17 1997,2017,headrbr01
Kervin Castro,10,74.0,ve VE,Pitcher,*,,26,R,R,"6' 0""",185,Feb 7 1999,2016,castrke01
Luis Gil,11,81.0,do DO,Pitcher,*,,27,R,R,"6' 2""",185,Jun 3 1998,2015,gillu01
Yerry De los Santos,12,73.0,do DO,Pitcher,*,,27,R,R,"6' 2""",210,Dec 12 1997,2015,delosye01
Tim Hill,13,41.0,us US,Pitcher,*,,35,R,L,"6' 4""",210,Feb 10 1990,2014,hillti01
Clarke Schmidt,14,36.0,us US,Pitcher,*,,29,R,R,"6' 1""",200,Feb 20 1996,2015,schmicl01
Jake Bird,15,59.0,us US,Pitcher,*,,29,R,R,"6' 3""",200,Dec 4 1995,2015,birdja01
Ryan Yarbrough,16,33.0,us US,Pitcher,*,,33,R,L,"6' 5""",215,Dec 31 1991,2013,yarbrry01
Cam Schlittler,17,31.0,us US,Pitcher,*,,24,R,R,"6' 6""",225,Feb 5 2001,2019,schlica01
Chase Hampton,18,86.0,us US,Pitcher,*,,23,R,R,"6' 3""",220,Aug 7 2001,2021,redirect.fcgi?player=1&mlb_ID=694633
Elmer Rodriguez,19,76.0,pr PR,Pitcher,*,,21,L,R,"6' 3""",160,Aug 18 2003,2022,redirect.fcgi?player=1&mlb_ID=695684
Paul Blackburn,20,58.0,us US,Pitcher,*,,31,R,R,"6' 1""",196,Dec 4 1993,2012,blackpa01
Max Fried,21,54.0,us US,Pitcher,*,,31,L,L,"6' 4""",190,Jan 18 1994,2012,friedma01
Carlos Rodón,22,55.0,us US,Pitcher,*,,32,L,L,"6' 2""",255,Dec 10 1992,2012,rodonca01
Gerrit Cole,23,45.0,us US,Pitcher,*,,34,R,R,"6' 4""",220,Sep 8 1990,2011,colege01
Yanquiel Fernández,24,88.0,cu CU,Position,*,,22,L,L,"6' 2""",198,Jan 1 2003,2021,fernaya01
Jasson Domínguez,25,24.0,do DO,Position,*,,22,S,R,"5' 9""",218,Feb 7 2003,2021,dominja01
Ben Rice,26,22.0,us US,Position,*,,26,L,R,"6' 2""",228,Feb 22 1999,2019,ricebe01
Jazz Chisholm Jr.,27,13.0,bs BS,Position,*,,27,L,R,"5' 11""",184,Feb 1 1998,2016,chishja01
Anthony Volpe,28,11.0,us US,Position,*,,24,R,R,"5' 10""",197,Apr 28 2001,2019,volpean01
Spencer Jones,29,78.0,us US,Position,*,,24,L,L,"6' 7""",240,May 14 2001,2020,redirect.fcgi?player=1&mlb_ID=682987
Jorbit Vivas,30,90.0,ve VE,Position,*,,24,L,R,"5' 9""",171,Mar 9 2001,2018,vivasjo01
José Caballero,31,72.0,pa PA,Position,*,,28,R,R,"5' 10""",190,Aug 30 1996,2017,cabaljo01
Austin Wells,32,28.0,us US,Position,*,,25,L,R,"6' 1""",220,Jul 12 1999,2019,wellsau01
Oswaldo Cabrera,33,95.0,ve VE,Position,*,,26,S,R,"6' 0""",200,Mar 1 1999,2016,cabreos01
Trent Grisham,34,12.0,us US,Position,*,,28,L,L,"5' 10""",221,Nov 1 1996,2015,grishtr01
Amed Rosario,35,14.0,do DO,Position,*,,29,R,R,"6' 2""",190,Nov 20 1995,2013,rosaram01
Ryan McMahon,36,19.0,us US,Position,*,,30,L,R,"6' 2""",219,Dec 14 1994,2013,mcmahry01
J.C. Escarra,37,25.0,us US,Position,*,,30,L,R,"6' 2""",220,Apr 24 1995,2014,escarjc01
Cody Bellinger,38,35.0,us US,Position,*,,29,L,L,"6' 3""",204,Jul 13 1995,2013,bellico01
Aaron Judge,39,99.0,us US,Position,*,,33,R,R,"6' 7""",282,Apr 26 1992,2011,judgeaa01
Giancarlo Stanton,40,27.0,us US,Position,*,,35,R,R,"6' 6""",245,Nov 8 1989,2007,stantmi03
Zack Kelly,1,76.0,us US,Pitcher,*,,30,R,R,"6' 3""",231,Mar 3 1995,2017,kellyza01
Connelly Early,2,71.0,us US,Pitcher,*,,23,L,L,"6' 3""",195,Apr 3 2002,2021,earlyco01
Payton Tolle,3,70.0,us US,Pitcher,*,,22,L,L,"6' 6""",250,Nov 1 2002,2021,tollepa01
Tyler Samaniego,4,,us US,Pitcher,*,,26,R,L,"6' 4""",205,Jan 30 1999,2020,redirect.fcgi?player=1&mlb_ID=701719
Tyler Uberstine,5,,us US,Pitcher,*,,26,R,R,"6' 1""",200,Jun 1 1999,2020,redirect.fcgi?player=1&mlb_ID=700413
Kyle Harrison,6,38.0,us US,Pitcher,*,,23,R,L,"6' 2""",209,Aug 12 2001,2021,harriky01
Jake Bennett,7,,us US,Pitcher,*,,24,L,L,"6' 6""",234,Dec 2 2000,2020,redirect.fcgi?player=1&mlb_ID=687562
Justin Slaten,8,63.0,us US,Pitcher,*,,27,R,R,"6' 4""",222,Sep 15 1997,2017,slateju01
Brayan Bello,9,66.0,do DO,Pitcher,*,,26,R,R,"6' 1""",195,May 17 1999,2018,bellobr01
Sonny Gray,10,54.0,us US,Pitcher,*,,35,R,R,"5' 10""",190,Nov 7 1989,2011,grayso01
Garrett Crochet,11,35.0,us US,Pitcher,*,,26,L,L,"6' 6""",245,Jun 21 1999,2018,crochga01
Kutter Crawford,12,50.0,us US,Pitcher,*,,29,R,R,"6' 1""",195,Apr 1 1996,2017,crawfku01
Garrett Whitlock,13,22.0,us US,Pitcher,*,,29,R,R,"6' 5""",222,Jun 11 1996,2016,whitlga01
Shane Drohan,14,,us US,Pitcher,*,,26,L,L,"6' 3""",195,Jan 7 1999,2018,redirect.fcgi?player=1&mlb_ID=675660
Jovani Morán,15,47.0,pr PR,Pitcher,*,,28,L,L,"6' 1""",167,Apr 24 1997,2015,moranjo01
Aroldis Chapman,16,44.0,cu CU,Pitcher,*,,37,L,L,"6' 4""",235,Feb 28 1988,2005,chapmar01
Ranger Suárez,17,55.0,ve VE,Pitcher,*,,29,L,L,"6' 1""",217,Aug 26 1995,2012,suarera01
Tanner Houck,18,89.0,us US,Pitcher,*,,29,R,R,"6' 5""",226,Jun 29 1996,2015,houckta01
Johan Oviedo,19,29.0,cu CU,Pitcher,*,,27,R,R,"6' 6""",275,Mar 2 1998,2016,oviedjo01
Patrick Sandoval,20,43.0,us US,Pitcher,*,,28,L,L,"6' 3""",190,Oct 18 1996,2015,sandopa02
Ryan Watson,21,,us US,Pitcher,*,,27,R,R,"6' 5""",225,Nov 15 1997,2017,redirect.fcgi?player=1&mlb_ID=670245
Greg Weissert,22,57.0,us US,Pitcher,*,,30,R,R,"6' 2""",235,Feb 4 1995,2014,weissgr01
Triston Casas,23,36.0,us US,Position,*,,25,L,R,"6' 4""",244,Jan 15 2000,2018,casastr01
Romy Gonzalez,24,23.0,us US,Position,*,,28,R,R,"6' 0""",215,Sep 6 1996,2016,gonzaro01
Masataka Yoshida,25,7.0,jp JP,Position,*,,31,L,R,"5' 8""",192,Jul 15 1993,2016,yoshima02
Willson Contreras,26,40.0,ve VE,Position,*,,33,R,R,"6' 1""",240,May 13 1992,2009,contrwi01
Trevor Story,27,10.0,us US,Position,*,,32,R,R,"6' 1""",209,Nov 15 1992,2011,storytr01
Roman Anthony,28,19.0,us US,Position,*,,21,L,R,"6' 3""",200,May 13 2004,2022,anthoro01
Kristian Campbell,29,28.0,us US,Position,*,,23,R,R,"6' 3""",210,Jun 28 2002,2022,campbkr01
Tsung-Che Cheng,30,,tw TW,Position,*,,23,L,R,"5' 8""",180,Jul 26 2001,2021,chengts01
Marcelo Mayer,31,11.0,us US,Position,*,,22,L,R,"6' 3""",188,Dec 12 2002,2021,mayerma01
Connor Wong,32,12.0,us US,Position,*,,29,R,R,"5' 10""",190,May 19 1996,2015,wongco01
Nick Sogard,33,20.0,us US,Position,*,,27,S,R,"6' 1""",189,Sep 9 1997,2017,sogarni01
David Hamilton,34,17.0,us US,Position,*,,27,L,R,"5' 11""",188,Sep 29 1997,2017,hamilda03
Nate Eaton,35,18.0,us US,Position,*,,28,R,R,"5' 11""",200,Dec 22 1996,2016,eatonna01
Mickey Gasper,36,,us US,Position,*,,29,S,R,"5' 10""",205,Oct 11 1995,2015,gaspemi01
Jarren Duran,37,16.0,us US,Position,*,,28,L,R,"6' 1""",205,Sep 5 1996,2016,duranja01
Ceddanne Rafaela,38,3.0,cw CW,Position,*,,24,R,R,"5' 10""",165,Sep 18 2000,2018,rafaece01
Carlos Narváez,39,75.0,ve VE,Position,*,,26,R,R,"6' 0""",190,Nov 26 1998,2016,narvaca01
Wilyer Abreu,40,52.0,ve VE,Position,*,,26,L,L,"5' 10""",215,Jun 24 1999,2017,abreuwi02
Adam Macko,1,64.0,sk SK,Pitcher,*,,24,L,L,"6' 0""",170,Dec 30 2000,2019,redirect.fcgi?player=1&mlb_ID=671936
Jake Bloss,2,28.0,us US,Pitcher,*,,24,R,R,"6' 3""",223,Jun 23 2001,2020,blossja01
Trey Yesavage,3,39.0,us US,Pitcher,*,,21,R,R,"6' 4""",225,Jul 28 2003,2022,yesavtr01
Chase Lee,4,,us US,Pitcher,*,,26,R,R,"6' 0""",170,Aug 13 1998,2019,leech02
Ricky Tiedemann,5,,us US,Pitcher,*,,22,L,L,"6' 4""",220,Aug 18 2002,2022,redirect.fcgi?player=1&mlb_ID=694357
Spencer Miles,6,,us US,Pitcher,*,,24,L,R,"6' 3""",180,Jul 26 2000,2020,redirect.fcgi?player=1&mlb_ID=693686
Mason Fluharty,7,68.0,us US,Pitcher,*,,23,R,L,"6' 2""",215,Aug 13 2001,2020,fluhama01
Louis Varland,8,77.0,us US,Pitcher,*,,27,L,R,"6' 1""",205,Dec 9 1997,2017,varlalo01
Angel Bastardo,9,66.0,ve VE,Pitcher,*,,23,R,R,"6' 1""",175,Jun 18 2002,2019,redirect.fcgi?player=1&mlb_ID=682785
Lazaro Estrada,10,60.0,cu CU,Pitcher,*,,26,R,R,"5' 10""",180,Apr 24 1999,2018,estrala01
Braydon Fisher,11,63.0,us US,Pitcher,*,,24,R,R,"6' 4""",180,Jul 26 2000,2018,fishebr02
Bowden Francis,12,44.0,us US,Pitcher,*,,29,R,R,"6' 5""",220,Apr 22 1996,2017,francbo01
Shane Bieber,13,57.0,us US,Pitcher,*,,30,R,R,"6' 3""",200,May 31 1995,2014,biebesh01
Tommy Nance,14,45.0,us US,Pitcher,*,,34,R,R,"6' 6""",235,Mar 19 1991,2012,nanceto01
Yimi García,15,93.0,do DO,Pitcher,*,,34,R,R,"6' 1""",230,Aug 18 1990,2009,garciyi01
Kevin Gausman,16,34.0,us US,Pitcher,*,,34,L,R,"6' 2""",205,Jan 6 1991,2011,gausmke01
José Berríos,17,17.0,pr PR,Pitcher,*,,31,R,R,"6' 0""",205,May 27 1994,2012,berrijo01
Cody Ponce,18,37.0,us US,Pitcher,*,,31,R,R,"6' 6""",255,Apr 25 1994,2013,ponceco01
Brendon Little,19,54.0,us US,Pitcher,*,,28,L,L,"6' 2""",195,Aug 11 1996,2016,littlbr02
Eric Lauer,20,56.0,us US,Pitcher,*,,30,R,L,"6' 3""",209,Jun 3 1995,2014,lauerer01
Tyler Rogers,21,71.0,us US,Pitcher,*,,34,R,R,"6' 3""",180,Dec 17 1990,2012,rogerty01
Dylan Cease,22,,us US,Pitcher,*,,29,R,R,"6' 2""",200,Dec 28 1995,2015,ceasedy01
Jeff Hoffman,23,23.0,us US,Pitcher,*,,32,R,R,"6' 5""",235,Jan 8 1993,2012,hoffmje02
Addison Barger,24,47.0,us US,Position,*,,25,L,R,"6' 0""",210,Nov 12 1999,2018,bargead01
Joey Loperfido,25,10.0,us US,Position,*,,26,L,R,"6' 2""",220,May 11 1999,2018,loperjo01
Tyler Heineman,26,55.0,us US,Position,*,,34,S,R,"5' 10""",190,Jun 19 1991,2011,heinety01
Anthony Santander,27,25.0,ve VE,Position,*,,30,S,R,"6' 0""",230,Oct 19 1994,2012,santaan02
Jonatan Clase,28,8.0,do DO,Position,*,,23,S,R,"5' 10""",150,May 23 2002,2019,clasejo01
Daulton Varsho,29,5.0,us US,Position,*,,28,L,R,"5' 8""",207,Jul 2 1996,2015,varshda01
Nathan Lukes,30,38.0,us US,Position,*,,30,L,R,"5' 11""",180,Jul 12 1994,2013,lukesna01
Brandon Valenzuela,31,,mx MX,Position,*,,24,S,R,"6' 1""",225,Oct 2 2000,2018,redirect.fcgi?player=1&mlb_ID=678218
Leo Jimenez,32,49.0,pa PA,Position,*,,24,R,R,"5' 10""",215,May 17 2001,2018,jimenle01
Davis Schneider,33,36.0,us US,Position,*,,26,R,R,"5' 9""",190,Jan 26 1999,2017,schneda03
Ernie Clement,34,22.0,us US,Position,*,,29,R,R,"5' 11""",170,Mar 22 1996,2015,clemeer01
Kazuma Okamoto,35,7.0,jp JP,Position,*,,29,R,R,"6' 0""",212,Jun 30 1996,2015,redirect.fcgi?player=1&mlb_ID=672960
Alejandro Kirk,36,30.0,mx MX,Position,*,,26,R,R,"5' 8""",245,Nov 6 1998,2017,kirkal01
George Springer,37,4.0,us US,Position,*,,35,R,R,"6' 1""",220,Sep 19 1989,2010,springe01
Myles Straw,38,3.0,us US,Position,*,,30,R,R,"5' 9""",178,Oct 17 1994,2015,strawmy01
Andrés Giménez,39,0.0,ve VE,Position,*,,26,L,R,"5' 11""",161,Sep 4 1998,2016,gimenan01
Vladimir Guerrero Jr.,40,27.0,ca CA,Position,*,,26,R,R,"6' 0""",245,Mar 16 1999,2016,guerrvl02
Steven Wilson,1,24.0,us US,Pitcher,*,,30,R,R,"6' 4""",220,Aug 24 1994,2014,wilsost02
Alex Cook,2,,us US,Pitcher,*,,24,R,R,"6' 2""",220,Mar 29 2001,2020,redirect.fcgi?player=1&mlb_ID=702047
Joe Rock,3,68.0,us US,Pitcher,*,,24,L,L,"6' 6""",220,Jul 29 2000,2019,rockjo01
Ian Seymour,4,61.0,us US,Pitcher,*,,26,L,L,"6' 0""",215,Dec 13 1998,2018,seymoia01
Kevin Kelly,5,49.0,us US,Pitcher,*,,27,R,R,"6' 2""",195,Nov 28 1997,2017,kellyke02
Ryan Pepiot,6,44.0,us US,Pitcher,*,,27,R,R,"6' 3""",210,Aug 21 1997,2017,pepiory01
Hunter Bigge,7,43.0,us US,Pitcher,*,,27,R,R,"6' 0""",215,Jun 12 1998,2017,biggehu01
Yoendrys Gómez,8,94.0,ve VE,Pitcher,*,,25,R,R,"6' 3""",212,Oct 15 1999,2017,gomezyo01
Joe Boyle,9,36.0,us US,Pitcher,*,,25,R,R,"6' 8""",250,Aug 14 1999,2018,boylejo01
Edwin Uceta,10,63.0,do DO,Pitcher,*,,27,R,R,"6' 0""",210,Jan 9 1998,2016,ucetaed01
Jesse Scholtens,11,65.0,us US,Pitcher,*,,31,R,R,"6' 4""",240,Apr 6 1994,2013,scholje01
Mason Englert,12,59.0,us US,Pitcher,*,,25,S,R,"6' 4""",205,Nov 1 1999,2021,englema01
Steven Matz,13,,us US,Pitcher,*,,34,R,L,"6' 2""",205,May 29 1991,2012,matzst01
Shane McClanahan,14,18.0,us US,Pitcher,*,,28,L,L,"6' 3""",210,Apr 28 1997,2017,mcclash01
Bryan Baker,15,47.0,us US,Pitcher,*,,30,R,R,"6' 6""",235,Dec 2 1994,2014,bakerbr01
Drew Rasmussen,16,57.0,us US,Pitcher,*,,29,R,R,"6' 1""",240,Jul 27 1995,2014,rasmudr01
Manuel Rodríguez,17,39.0,mx MX,Pitcher,*,,28,R,R,"5' 11""",205,Aug 6 1996,2014,rodrima01
Cole Sulser,18,71.0,us US,Pitcher,*,,35,R,R,"6' 0""",200,Mar 12 1990,2011,sulseco01
Garrett Cleavinger,19,60.0,us US,Pitcher,*,,31,R,L,"6' 1""",225,Apr 23 1994,2013,cleavga01
Griffin Jax,20,22.0,us US,Pitcher,*,,30,R,R,"6' 2""",195,Nov 22 1994,2014,jaxgr01
Dominic Keegan,21,,us US,Position,*,,24,R,R,"6' 0""",210,Aug 1 2000,2018,redirect.fcgi?player=1&mlb_ID=681371
Ben Williamson,22,,us US,Position,*,,24,R,R,"6' 0""",210,Nov 5 2000,2020,willibe03
Chandler Simpson,23,14.0,us US,Position,*,,24,L,R,"5' 11""",170,Nov 18 2000,2019,simpsch01
Carson Williams,24,7.0,us US,Position,*,,22,R,R,"6' 2""",180,Jun 25 2003,2021,willica02
Jadher Areinamo,25,,ve VE,Position,*,,21,R,R,"5' 8""",160,Nov 28 2003,2021,redirect.fcgi?player=1&mlb_ID=699130
Jake Fraley,26,17.0,us US,Position,*,,30,L,L,"5' 11""",206,May 25 1995,2014,fraleja01
Junior Caminero,27,13.0,do DO,Position,*,,21,R,R,"6' 1""",220,Jul 5 2003,2021,caminju01
Jacob Melton,28,29.0,us US,Position,*,,24,L,L,"6' 3""",208,Sep 7 2000,2019,meltoja01
Yandy Díaz,29,2.0,cu CU,Position,*,,33,R,R,"6' 1""",235,Aug 8 1991,2008,diazya01
Víctor Mesa Jr.,30,,cu CU,Position,*,,23,L,L,"5' 11""",195,Sep 8 2001,2019,mesavi01
Richie Palacios,31,1.0,us US,Position,*,,28,L,R,"5' 9""",185,May 16 1997,2016,palacri01
Hunter Feduccia,32,30.0,us US,Position,*,,28,L,R,"6' 1""",215,Jun 5 1997,2016,feduchu01
Jonny DeLuca,33,21.0,us US,Position,*,,26,R,R,"5' 11""",195,Jul 10 1998,2017,delucjo01
Cedric Mullins,34,31.0,us US,Position,*,,30,L,L,"5' 8""",175,Oct 1 1994,2015,mullice01
Taylor Walls,35,6.0,us US,Position,*,,28,S,R,"5' 8""",185,Jul 10 1996,2015,wallsta01
Nick Fortes,36,40.0,us US,Position,*,,28,R,R,"5' 11""",198,Nov 11 1996,2016,forteni01
Justyn-Henry Malloy,37,55.0,us US,Position,*,,25,R,R,"6' 1""",212,Feb 19 2000,2018,malloju02
Ryan Vilade,38,,us US,Position,*,,26,R,R,"6' 2""",226,Feb 18 1999,2017,viladry01
Gavin Lux,39,11.0,us US,Position,*,,27,L,R,"5' 11""",190,Nov 23 1997,2016,luxga01
Jonathan Aranda,40,8.0,mx MX,Position,*,,27,L,R,"6' 0""",215,May 23 1998,2016,arandjo01
